front,back,front_color,back_color,attemps,correct
How does a digital camera operate?,"<ul><li>Shutter opens to let light in.</li><li>Light is focused by a lens.</li><li>Focused light received by a sensor, either a CMOS or CCD.</li><li>Bayer filter splits the light into red, green and blue components.</li><li>Sensor is made of a grid of photovoltaic sensors. Each sensor correlates to one pixel.</li><li>Photovoltaic sensors produce voltages based on  light intensity, which is quantised into binary via ADC.</li><li>Binary values are grouped into RGB.</li><li>Binary data stored in camera memory.</li></ul>",,,0,0
What is a bayer filter?,"A bayer filter is a light filter that sits in front of a camera sensor, it splits the light into red, green and blue components. Each square alternates between green and another colour, the other colour alternates between red and blue → this leads to being 2x as many green as other colours, which mimics the human eye.",,,0,0
What are the components of a laser printer?,<ul><li>Laser</li><li>Mirror</li><li>Drum</li><li>Toner Roller</li><li>Fusers</li><li>Paper Tray</li></ul>,,,0,0
How does a laser printer operate?,"<ol><li>Data to be printed is sent to the printer driver.</li><li>Printer driver formats the data so the printer can understand it.</li><li>Printer driver checks the status of the printer e.g. is there any paper left.</li><li>Data is transferred to the printer and stored in the print buffer.</li><li>Printing starts by negatively charging the print drum.</li><li>As printer drum rotates, mirror scans laser beam across it.</li><li>Wherever the laser hits, the negative charge will be removed.</li><li>Toner hopper puts negatively charged toner on the print drum.</li><li>The toner can only stick to places where the negative charge has been removed.</li><li>Paper rolled over the drum.</li><li>Toner on the drum sticks to the paper, recreating the image/text.</li><li>To prevent paper sticking to the drum, the charge is all removed once the page is printed.</li><li>Paper passes through a fuser which heats the toner and permanently sticks it to the page.</li><li>Discharge lamp removes all charge from the drum so it's ready for the next page.</li></ol>",,,0,0
What colours does a printer need to be able to produce?,"A printer should have the four colours cyan, yellow, magenta and black, this is often referred to as CYMK.",,,0,0
What is the definition of RFID?,RFID = radio frequency identification.,,,0,0
What are the features of passive RFID?,<ul><li>No internal power source / cannot run out of charge.</li><li>Only works at a short range</li><li>One RFID reader can only read one passive RFID chip at a time.</li><li>Less parts required.</li><li>Increased security (harder to get the ID)</li></ul>,,,0,0
What are the features of active RFID?,<ul><li>Has its own power supply.</li><li>Constantly emits a signal.</li><li>Can have a much longer range.</li><li>One reader can listen for multiple active RFID signals at once.</li><li>Does not need to make contact with a reader to be read.</li><li>Reduced security.</li></ul>,,,0,0
What is the process for reading a passive RFID chip?,"<ol><li>Reader emits radio waves.</li><li>Antenna in the passive RFID chip has a current induced in it.</li><li>This current powers the chip so it can transmit its unique code.</li><li>The reader listens for the returned code.</li><li>The code can used in whatever scenario is needed, e.g. checking if user with that ID has permission to open the door etc.</li></ol>",,,0,0
Define:<ul><li>Analogue</li><li>Digital</li><\ul>,<ul><li>Analogue - varies continuously and can take on any value in a range.</li><li>Digital - varies discretely and can only take on a finite number of values in a range.</li></ul>,,,0,0
How do devices communicate with each other?,"<ul><li>They communicate using electromagnetic signals.</li><li>The voltage/amplitude is used to encode binary data.</l><li>Wired communication uses electrical signals, wireless uses radio signals.</li></ul>",,,0,0
What is synchronous communication?,"Synchronous communication relies on the sending and receiving device having a synchronised clock, with timing information sent within the main data.",,,0,0
What is asynchronous communication?,"Asynchronous communication does not require the sender and receiver to have synchronised clocks. When a start bit is received, the clocks will synchronise for the duration of the transmission.",,,0,0
What is the difference between synchronous and asynchronous communication?,"<ul><li>Synchronous requires that sender and receiver clocks are synchronised, asynchronous does not have this requirement.</li><li>Synchronous has a continuous flow of data, asynchronous can send intermittently.</li></ul>",,,0,0
When would synchronous communication be used over asynchronous?,"<ul><li>Synchronous is used in applications such as networking, or in things like speakers and monitors. (constant flow of data)</li><li>Asynchronous is used for peripherals like keyboards or mice. (intermittent flow of data)</li></ul>",,,0,0
What is the purpose of a start bit and a stop bit?,"<ul><li>START BIT - Sent to mark the beginning of an asynchronous transmission. It is used to synchronise the clock of the sender and receiver for the transmission.</li><li>STOP BIT - Sent to mark the end of an asynchronous transmission. It is used to give the receiver time to process the data, and allows to recognise the next start bit.</li></ul>",,,0,0
What is serial transmission?,Serial transmission is when bits are sent one after the other along a single wire.,,,0,0
What is parallel transmission?,"Parallel transmission is when several bits are sent at the same time along multiple parallel wires, usually in groups of 8, 16 or 32 etc.",,,0,0
Parallel transmission allows for a huge increase in bandwidth for a connection. Why is serial transmission still used?,"<ul><li>Serial transmission is effective at higher bit rates as it does not suffer from skew or crosstalk.</li><li>Serial transmission uses fewer wires, making it cheaper.</li><li>Serial interfaces have fewer wires, making them cheaper to produce and easier to use.</li></ul>",,,0,0
What is skew?<br>What is crosstalk?,In parallel transmission:<br><ul><li>Skew = bits arriving out of sync due to differences in the length of parallel wires.</li><li>Crosstalk = electromagnetic interference between wires that corrupts data.</li></ul>,,,0,0
What is the hidden node problem?<br>How can it be overcome?,"In a wireless network, each device has a maximum range for devices it can ""see"". This means if two devices are on opposite sides of a wireless access point, they could feasibly be in range of the access point, but not each other, hence there is a hidden node on the network. This is problematic because the nodes could attempt to communicate on the same frequency and corrupt each other's data.<br>To overcome this, you can employ collision avoidance. Each node at random intervals will broadcast a Request To Send (RTS) packet, and the wireless access point will respond to a node with a Clear To Send (CTS) packet. Each node connected will also receive this packet and will know they cannot transmit on the network.",,,0,0
What is latency?,Latency is the time delay between when the first byte/packet is sent and when it is received at its destination.,,,0,0
What is a protocol?,A protocol is a set of rules that define how a communication should be carried out between devices.,,,0,0
What kinds of things will be specified by a protocol?,<ul><li>Rate of transmission.</li><li>Format of data.</li><li>Synchronous or asynchronous transmission.</li><li>Standards for physical connections and wiring.</li><li>Error checking procedures.</li></ul>,,,0,0
"What is bit rate, and what does it tell us about a transmission?","Bit rate is the number of bits transmitted per second, it tells us the rapidity of data transfer.",,,0,0
"What is baud rate, and what does it tell us about the transmission?","Baud rate tells us the number of signal changes / symbols sent per second, it tells us how quickly the medium can change its state.",,,0,0
What is the relationship between bit rate and baud rate?,Bit Rate = Baud Rate * Bits per Symbol.<br>Bit Rate >= Baud Rate.,,,0,0
What is broadband? Why is it different to baseband?,"Broadband is when a transmission medium can support multiple bit patterns to be sent in a single symbol. For example, it means that a wire could carry either 0.0V, 0.5V, 1.0V, 1.5V or 2.0V, meaning it can carry 2 bits per signal. This is different to baseband which may only support 0.0V or 2.0V, meaning it could only carry 1 bit per signal.",,,0,0
"What is bandwidth, and how is it related to bit rate?",Bandwidth is the theoretical maximum capacity of a communication channel. It is directly proportional to bit rate.,,,0,0
