front,back,front_color,back_color,attemps,correct
Can you draw a syntax diagram to represent a context-free language / convert it to and from Backus-Naur form?,I hope so because I can't draw on the flashcard to show u.,,,3,3
How do you describe the difference between countably and uncountably infinite sets?,"A countably infinite set can be mapped onto the set of natural numbers ℕ, for example the multiples of 3 can be counted 0, 3, 6 and so on.<br>An uncountably infinite set has no such mapping, for example the set of real numbers ℝ - there is no way to start counting the items.",,,3,3
Can you remember what a state transition diagram is?,Yes - good.<br>No - revise it.,,,3,3
What is a set?,A set is a well defined collection of objects.,,,3,2
What are the different time complexities you need to know for A-Level? (Ranked best to worst).,<ul><li>O(1) - constant time complexity.</li><li>O(logn) - logarithmic time complexity.</li><li>O(n) - linear time complexity.</li><li>O(nlogn) - linearithmic time complexity.</li><li>O(n²) - polynomial time complexity.</li><li>O(aⁿ) - exponential time complexity.</li><li>O(n!) - factorial time complexity.</li></ul>,,,3,3
How can you make a state transition table for checking if a binary number is odd?, <table>  <tr>    <th>State</th>    <th>Input</th>    <th>Next State</th>  </tr>  <tr>    <td>S0</td>    <td>0</td>    <td>S1</td>  </tr>  <tr>    <td>S0</td>    <td>1</td>    <td>S0</td>  </tr><tr>    <td>S1</td>    <td>0</td>    <td>S1</td>  </tr><tr>    <td>S1</td>    <td>1</td>    <td>S0</td>  </tr></table> ,,,3,3
What is a mealy machine?,A mealy machine is a finite state machine that also produces an output for each time an input is received.,,,3,3
What does the set of {0ⁿ1ⁿ | n >= 0} actually represent?,"{aⁿbⁿ | n >= 0} = {ε, ab, aabb, aaabbb, aaaabbbb, ...}<br>ε is the ""empty string""",,,3,3
Which of the following strings match the regular expression a+c+(d|e)*<ul><li>aaccdede</li><li>cd</li><li>acd</li><li>aceeee</li><li>ac</li><li>acac</li></ul>,"a+c+(d|e)*<ul><li>aaccdede - yes</li><li>cd - no, needs to start with at least 1 a</li><li>acd - yes</li><li>aceeee - yes</li><li>ac - yes</li><li>acac - no, after the first c there needs to be nothing or a d or an e</li></ul>",,,3,3
How can you have floating point binary?,"Have a bunch of bits. Define some of the bits to be your mantissa, and some of the bits to be your exponent. To find the actual value, bitshift your mantissa by your exponent.",,,3,3
What is a context-free language?,"A language that is not a regular language, e.g. cannot be described by a regular expression. A context-free language can be represented using Backus-Naur form.",,,3,3
How can you compute an RPN expression using a stack?,"Iterate over the expression one character at a time. If you reach a number, add it to a stack. If you reach an operator, pop the number of items that operator needs from the stack.<ul><li>+, -, *, /, ^ = 2 operands.</li><li>~ = 1 operand (unary minus)</li></ul>For the dual operand operators, apply the operator so that it's like second_popped - first_popped, otherwise its wrong. Then, push result to the stack and continue. There should be one item left on the stack at the end which is your answer.",,,3,3
Convert to denary.<table>  <tr>    <th>MANTISSA</th>    <th>EXPONENT</th>  </tr>  <tr>    <td>01101011</td>    <td>1101</td>  </tr></table> ,"<ol><li>Default binary point position in the mantissa is between digit 1 and 2 - 0.1101011</li><li>Look at exponent 1101 - this is -3 in denary (2s complement).</li><li>Move binary point right by -3 points, duplicate the first digit as you do so.</li><li>0.0001101011</li><li>Convert normally to denary.</li></ol>",,,3,3
What is the significance of the halting problem?,It demonstrates that not all problems can be solved using a computer / some problems are non-computable.,,,2,2
What is an expression tree?,An expression tree is a way to describe an algebraic expression. If you traverse the tree in:<ul><li>Pre-order = polish notation</li><li>In-order = infix (looks normal)</li><li>Post-order = reverse polish notation</li></ul>,,,3,3
What are the two ways to define a regular language?,A regular language is either:<ul><li>A language which can be represented by a regular expression.</li><li>Any language that a finite state machine will accept.</li></ul>,,,3,3
Do you remember how to translate a FSM into a regular expression and vice versa?,Yes. (if not go look at that).,,,3,3
What is the halting problem? How was it demonstrated?,"The halting problem says that it is not possible to devise an algorithm which can determine, given a program and an input, whether that program will halt or continue forever *without running the program*.<br>To prove it, you suppose there is such an program that can determine if another program will halt or not.<br>Now, create a new program, run the original program and say ""if the program says it will halt, repeat forever, otherwise halt"" (so do the opposite of what it says).<br>Now, feed the program into itself, with itself as the input. There is no possible output - if the program would repeat forever, the program would halt and vice versa - paradox, hence there is no such program. Q.E.D.",,,3,3
What regular expressions symbols do you need to remember? (Other symbols will be explained anyway).,<ul><li>* = 0 or more repeats.</li><li>+ = 1 or more repeats.</li><li>? = 0 or 1 repeats.</li><li>| = either or</li><li>() = grouped</li></ul>,,,3,3
What is big O notation?,Big O notation is a measure of time complexity. It measures how well an algorithm scales with time as the size of the data set increases.,,,3,3
What is the Cartesian product of two sets?,"The Cartesian product is written as A x B, this produces a new set which the set of all ordered pairs of elements:<br><ul style=""list-style-type:none""><li>for a in A:</li><li>    for b in B:</li><li>        new_set.append((a, b))</li></ul>",,,3,3
"What is a production rule in Backus-Naur, and how do you write one?",A production rule in Backus-Naur is a rule which states how non-terminal symbols can be contructed from terminal and non-terminal symbols.<br>They can be written like:&ltnumber&gt ::= &ltdigit&gt|&ltdigit&gt&ltnumber&gt,,,2,2
"Convert 13.25 to floating point binary, using an 8 bit mantissa and a 4 bit exponent.","<ol><li>Convert normally to binary, using the smallest amount of bits you can - 1011.01</li><li>Remember this is twos complement, so it needs a leading 0 - 01011.01</li><li>Pad the end of the number with zeros until you fill the mantissa - 01011.010</li><li>Shift binary point and count how far it moved to the left (if going right, its negative)</li><li>0.1011010 = 4 places left.</li><li>4 in binary = 0100 (4 bit exponent).</li><li>So 13.25 = 01011010 0100.</li></ol>",,,2,2
How would you write a set comprehension for even numbers?,{x | x ϵ ℕ ∧ x is even}<ul><li>| means 'such that'</li><li>∧ means 'and'</li></ul>,,,3,3
How do you typically denote a set?,"<ul><li>Capital letter</li><li>Surround items in '{}'</li><li>Comma to separate items</li></ul>For exampleS = {a, b, c, d}",,,3,3
How do you know if floating point is normalised or not?,"A normalised floating point number will have a mantissa that starts in either 10 or 01. This is because any duplicated starting digits do not change the value of the number, and waste space in the number.",,,3,3
"For the regular expression:<br><ul><li>1|01+</li></ul><br>Which of the following is the right way to ""bracket it"":<ul><li>(1|0)1+</li><li>(1)|(01+)</li></ul>",1|01+ is equivalent to (1)|(01+),,,1,1
How do you convert the expression:<br>6 3 - 2 5 * +<br>Into infix?,"Read from left to right. Every time you meet an operator, apply it to the last two items you met. (Except unary minus which only requires one arg).<br><ul style=""list-style-type:none""><li>(6 - 3)</li><li>(2 * 5)</li><li>(6 - 3) + (2 * 5)</li><li>6 - 3 + 2 * 5</li></ul>",,,3,3
What is the difference between a subset and a proper subset? What are the symbols for both?,"A proper subset means that all of a set's elements are contained within another set, for example:<br>{0, 1, 2} ⊂ {0, 1, 2, 3} (proper subset)<br>A subset differs because a subset allows for the sets to be identical while a proper subset does not.<br>{0, 1, 2, 3} ⊆ {0, 1, 2, 3} (subset)",,,2,2
How can you represent a finite state machine?,"<ul><li>State Transition Diagram - a picture that uses circles and arrows</li><li>State Transition Table - a table for each combination of state, an input, and the next state if given that input.</li></ul>",,,3,1
What is representational abstraction?,The removal of unnecessary details from a problem.,,,0,0
What is abstraction by generalisation?,"Abstraction by generalisation is grouping by common characteristics to arrive at a hierarchical relationship of the ""is a kind of"" type.",,,0,0
What is information hiding?,"Information hiding is when unnecessary details are hidden, and the important elements are exposed using an interface.",,,0,0
What is the difference between information hiding and representational abstraction?,"Representational abstraction means that unnecessary details are removed from a problem, while information hiding means that unnecessary details are hidden behind an interface. However, they are both focused on the removal of extra information that is unhelpful.",,,0,0
What is procedural abstraction?,Procedural abstraction is breaking down a complex model into a set of reusable procedures that can work in the widest possible set of scenarios.,,,0,0
What is functional abstraction?,Functional abstraction is when a set of functions is created and the implementation of the function is hidden.,,,0,0
What is the difference between functional abstraction and procedural abstraction?,"Function abstraction is focused on creating ""functions"", something that takes an input, transforms it, and produces an output. Procedural abstraction is focused on creating procedures, which are more akin to tasks rather than transformations.",,,0,0
What is data abstraction?,"Data abstraction is a technique used to separate how a data type is used, and how it is implemented, and allows more complex data types to be constructed from simpler ones. (e.g. a graph is constructed by an adjacency list, a list is a more simple abstract data type).",,,0,0
What is decomposition?,"Decomposition is when a problem is broken down into sub-problems, and those problems are either solved directly or broken down further. The combination of each solution will solve the overall problem.",,,0,0
What is composition?,"Composition is the combining of simpler parts to create something more complex. For example, functional composition can mean chaining functions together by putting the output of one into the input of another. Or you can combine data types to create more complex data types.",,,0,0
What is automation?,"Automation is the process of taking a model (abstraction of real world phenomenon) and putting it to action to solve problems. Automation is achieved by writing code for the algorithms and data structures of the model, and executing the code on the data structures.",,,0,0
What is an automaton?,"An automaton is a mathematical model of computation consisting of states and transition rules that processes input symbols to determine acceptance or rejection. The three types of automata are finite state machines, context-free language (BNF) and turing machines.",,,0,0
